Date/Time,100m_N Avg [m/s],100m_N Std [m/s],100m_S Avg [m/s],100m_S Std [m/s],80m Avg [m/s],80m Avg [m/s],80m Avg [m/s],80m Avg [m/s],80m Avg [m/s],80m Avg [m/s],80m Avg [m/s],80m Avg [m/s],80m Avg [m/s],80m Avg [m/s],80m Avg [m/s],80m Avg [m/s]
01-11-2017 00:00,3.285,0.177,NaN,NaN,3.803,4.803,5.803,6.803,7.803,8.803,9.803,10.803,11.803,12.803,13.803,14.803
01-11-2017 00:10,3.017,0.177,NaN,NaN,3.866,4.866,5.866,6.866,7.866,8.866,9.866,10.866,11.866,12.866,13.866,14.866
01-11-2017 00:20,3.066,0.145,3.13,0.145,3.148,4.148,5.148,6.148,7.148,8.148,9.148,10.148,11.148,12.148,13.148,14.148
01-11-2017 00:30,3.351,0.205,3.409,0.205,3.511,4.511,5.511,6.511,7.511,8.511,9.511,10.511,11.511,12.511,13.511,14.511
01-11-2017 00:40,3.039,0.102,3.088,0.145,3.276,4.276,5.276,6.276,7.276,8.276,9.276,10.276,11.276,12.276,13.276,14.276
01-11-2017 00:50,2.796,0.205,2.85,0.205,3.046,4.046,5.046,6.046,7.046,8.046,9.046,10.046,11.046,12.046,13.046,14.046
01-11-2017 01:00,2.499,0.102,2.551,0.145,2.827,3.827,4.827,5.827,6.827,7.827,8.827,9.827,10.827,11.827,12.827,13.827
01-11-2017 01:10,3.069,0.205,3.125,0.205,3.487,4.487,5.487,6.487,7.487,8.487,9.487,10.487,11.487,12.487,13.487,14.487
01-11-2017 01:20,3.201,0.145,3.257,0.177,3.288,4.288,5.288,6.288,7.288,8.288,9.288,10.288,11.288,12.288,13.288,14.288
01-11-2017 01:30,3.403,0.177,3.458,0.177,3.501,4.501,5.501,6.501,7.501,8.501,9.501,10.501,11.501,12.501,13.501,14.501
01-11-2017 01:40,3.697,0.102,3.757,0.102,3.815,4.815,5.815,6.815,7.815,8.815,9.815,10.815,11.815,12.815,13.815,14.815
01-11-2017 01:50,4.402,0.422,4.473,0.409,4.41,5.41,6.41,7.41,8.41,9.41,10.41,11.41,12.41,13.41,14.41,15.41
01-11-2017 02:00,4.606,0.307,4.672,0.307,4.939,5.939,6.939,7.939,8.939,9.939,10.939,11.939,12.939,13.939,14.939,15.939
01-11-2017 02:10,4.031,0.145,4.081,0.145,4.516,5.516,6.516,7.516,8.516,9.516,10.516,11.516,12.516,13.516,14.516,15.516
01-11-2017 02:20,3.638,0.102,3.689,0,4.155,5.155,6.155,7.155,8.155,9.155,10.155,11.155,12.155,13.155,14.155,15.155
01-11-2017 02:30,3.651,0.102,3.711,0.102,4.07,5.07,6.07,7.07,8.07,9.07,10.07,11.07,12.07,13.07,14.07,15.07
01-11-2017 02:40,3.638,0.251,3.713,0.251,3.83,4.83,5.83,6.83,7.83,8.83,9.83,10.83,11.83,12.83,13.83,14.83
01-11-2017 02:50,4.203,0.145,4.275,0.102,4.295,5.295,6.295,7.295,8.295,9.295,10.295,11.295,12.295,13.295,14.295,15.295
01-11-2017 03:00,4.166,0.102,4.245,0.145,4.325,5.325,6.325,7.325,8.325,9.325,10.325,11.325,12.325,13.325,14.325,15.325
01-11-2017 03:10,4.903,0.355,4.993,0.354,4.984,5.984,6.984,7.984,8.984,9.984,10.984,11.984,12.984,13.984,14.984,15.984
01-11-2017 03:20,4.866,0.251,4.939,0.251,4.648,5.648,6.648,7.648,8.648,9.648,10.648,11.648,12.648,13.648,14.648,15.648
