Date/Time,100m_N Avg [m/s],100m_N Std [m/s],100m_S Avg [m/s],100m_S Std [m/s],80m Avg [m/s],80m Std [m/s],50m Avg [m/s],50m Std [m/s],20m Avg [m/s],20m Std [m/s],Pressure [mbar],98m WV [?],78m WV [?],48m WV [?],Temp 5m [?C],Hum 5m [%]
01-11-2017 00:00,3.285,0.177,,,3.803,0.383,2.563,0.205,4.068,0.205,1009.4,11.3,0,355.8,22.5,62.5
01-11-2017 00:10,3.017,0.177,,,3.866,0.145,3.204,0.695,3.758,0.308,1009.3,14.1,1.4,358.6,22.5,61.5
01-11-2017 00:20,3.066,0.145,3.13,0.145,3.148,0.177,4.457,0.29,3.547,0.145,1009.4,29.5,12.7,1.4,22.6,61
01-11-2017 00:30,3.351,0.205,3.409,0.205,3.511,0.25,3.833,0.34,3.34,0.205,1009.4,33.8,16.9,2.8,22.9,59.8
01-11-2017 00:40,3.039,0.102,3.088,0.145,3.276,0.271,2.254,0.422,3.165,0.37,1009.4,26.7,7,358.6,23.2,57.4
01-11-2017 00:50,2.796,0.205,2.85,0.205,3.046,0.177,2.88,0.64,2.482,0.29,1009.3,35.2,18.3,0,23.3,54.9
01-11-2017 01:00,2.499,0.102,2.551,0.145,2.827,0.102,2.851,0.29,3.404,0.229,1009.1,29.5,23.9,0,24,51
01-11-2017 01:10,3.069,0.205,3.125,0.205,3.487,0.271,3.543,0.177,3.724,0.178,1009,33.8,26.7,2.8,23.8,50.8
01-11-2017 01:20,3.201,0.145,3.257,0.177,3.288,0.204,3.082,0.229,3.141,0.523,1009,45,38,21.1,23.6,50.7
01-11-2017 01:30,3.403,0.177,3.458,0.177,3.501,0.204,2.861,0.177,2.356,0.355,1008.8,40.8,33.8,18.3,23.6,48
01-11-2017 01:40,3.697,0.102,3.757,0.102,3.815,0.145,3.295,0.205,3.03,0.589,1008.8,42.2,32.3,19.7,24,46.5
01-11-2017 01:50,4.402,0.422,4.473,0.409,4.41,0.422,4.017,0.648,2.046,0.29,1008.8,42.2,35.2,21.1,23.6,47.7
01-11-2017 02:00,4.606,0.307,4.672,0.307,4.939,0.204,4.211,0.512,2.575,0.459,1008.7,45,36.6,22.5,23.1,49.8
01-11-2017 02:10,4.031,0.145,4.081,0.145,4.516,0.204,3.482,0.177,1.842,0.308,1008.6,47.8,39.4,19.7,23.2,47
01-11-2017 02:20,3.638,0.102,3.689,0,4.155,0.102,3.985,0.145,2.364,0.355,1008.6,46.4,36.6,15.5,23.5,45.7
01-11-2017 02:30,3.651,0.102,3.711,0.102,4.07,0.177,4.221,0.102,3.692,0.459,1008.5,40.8,30.9,16.9,23.2,47.6
01-11-2017 02:40,3.638,0.251,3.713,0.251,3.83,0.145,4.059,0.251,4.021,0.251,1008.4,39.4,30.9,16.9,23.1,47.1
01-11-2017 02:50,4.203,0.145,4.275,0.102,4.295,0.145,4.84,0.422,3.62,0.47,1008.4,33.8,19.7,7,23.3,44.4
01-11-2017 03:00,4.166,0.102,4.245,0.145,4.325,0.177,4.545,0.34,3.495,0.523,1008.4,28.1,12.7,2.8,23.7,42.8
01-11-2017 03:10,4.903,0.355,4.993,0.354,4.984,0.204,4.496,0.422,2.954,0.553,1008.4,29.5,15.5,2.8,23.6,43.9
01-11-2017 03:20,4.866,0.251,4.939,0.251,4.648,0.369,4.4,0.251,2.496,0.47,1008.3,43.6,26.7,4.2,23.3,45.3
01-11-2017 03:30,4.859,0.205,4.944,0.205,4.378,0.177,4.786,0.324,3.101,0.435,1008.3,39.4,19.7,1.4,23,46
01-11-2017 03:40,4.544,0.307,4.623,0.307,4.307,0.204,5.53,0.491,2.796,0.589,1008.3,32.3,11.3,1.4,23,45.4
01-11-2017 03:50,4.363,0.355,4.449,0.369,5.123,0.551,6.34,0.34,2.784,0.562,1008.3,18.3,2.8,1.4,22.6,46.6
01-11-2017 04:00,5.202,0.307,,,5.863,0.307,6.008,0.481,2.73,0.37,1008.2,5.6,1.4,0,22.4,46.8
01-11-2017 04:10,5.114,0.34,,,6.113,0.339,6.352,0.552,3.298,0.815,1008.2,11.3,2.8,1.4,22.4,44.8
01-11-2017 04:20,5.163,0.355,,,5.875,0.383,5.805,0.532,3.888,0.733,1008.2,11.3,2.8,1.4,23.6,39.8
01-11-2017 04:30,5.684,0.41,,,6.365,0.521,5.773,0.695,3.524,0.808,1008.2,11.3,2.8,1.4,24.1,38.2
